station,valid,metar
RPLL,2025-01-04 00:00,RPLL 040000Z 04003KT 280V090 9000 SCT023 BKN100 27/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 01:00,RPLL 040100Z VRB02KT 9000 FEW025 BKN100 29/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 02:00,RPLL 040200Z 16003KT 9000 SCT023 BKN100 28/25 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 03:00,RPLL 040300Z VRB03KT 9000 FEW025 SCT100 29/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 04:00,RPLL 040400Z 11003KT 040V200 9999 SCT023 BKN100 30/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-04 05:00,RPLL 040500Z 16005KT 080V250 9999 SCT025 BKN100 31/22 Q1009 NOSIG RMK A2980
RPLL,2025-01-04 06:00,RPLL 040600Z 13006KT 080V190 9999 FEW025 SCT100 31/23 Q1009 NOSIG RMK A2980
RPLL,2025-01-04 07:00,RPLL 040700Z 11006KT 050V160 9999 FEW025 BKN100 31/22 Q1008 NOSIG RMK A2977
RPLL,2025-01-04 08:00,RPLL 040800Z 13006KT 090V170 9999 FEW025 SCT100 31/22 Q1008 NOSIG RMK A2977
RPLL,2025-01-04 09:00,RPLL 040900Z 13005KT 080V190 9999 FEW025 BKN100 31/23 Q1008 NOSIG RMK A2977
RPLL,2025-01-04 10:00,RPLL 041000Z VRB02KT 9999 FEW025 BKN100 29/22 Q1009 NOSIG RMK A2980
RPLL,2025-01-04 11:00,RPLL 041100Z 10006KT 9999 FEW025 BKN100 29/21 Q1010 NOSIG RMK A2983
RPLL,2025-01-04 12:00,RPLL 041200Z 13006KT 070V180 9999 FEW025 28/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 13:00,RPLL 041300Z VRB05KT 9999 FEW025 28/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-04 14:00,RPLL 041400Z 11003KT 080V140 9999 FEW025 27/20 Q1012 NOSIG RMK A2988
RPLL,2025-01-04 15:00,RPLL 041500Z VRB02KT 9999 FEW025 27/20 Q1012 NOSIG RMK A2988
RPLL,2025-01-04 16:00,RPLL 041600Z 32003KT 270V040 9999 SCT025 27/20 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 17:00,RPLL 041700Z 32004KT 260V360 9999 FEW025 SCT100 27/20 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 18:00,RPLL 041800Z VRB02KT 9999 FEW025 SCT100 26/20 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 19:00,RPLL 041900Z VRB02KT 9999 FEW025 26/21 Q1010 NOSIG RMK A2983
RPLL,2025-01-04 20:00,RPLL 042000Z 27003KT 210V340 9999 FEW025 26/21 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 21:00,RPLL 042100Z 32004KT 290V020 9999 FEW025 BKN130 26/20 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 22:00,RPLL 042200Z VRB02KT 9999 FEW025 SCT100 26/20 Q1011 NOSIG RMK A2985
RPLL,2025-01-04 23:00,RPLL 042300Z 22003KT 9999 FEW025 SCT100 26/20 Q1012 NOSIG RMK A2988
RPLL,2025-01-05 00:00,RPLL 050000Z 07005KT 360V160 9999 FEW025 SCT100 27/20 Q1013 NOSIG RMK A2991
RPLL,2025-01-05 01:00,RPLL 050100Z 09009KT 060V150 9999 FEW025 SCT100 29/20 Q1013 NOSIG RMK A2991
RPLL,2025-01-05 02:00,RPLL 050200Z 34005KT 280V050 9999 FEW025 BKN100 29/20 Q1013 NOSIG RMK A2991
RPLL,2025-01-05 03:00,RPLL 050300Z 09008KT 060V140 9999 FEW025 BKN100 30/20 Q1013 NOSIG RMK A2991
RPLL,2025-01-05 04:00,RPLL 050400Z 10007KT 050V140 9999 FEW025 SCT100 30/20 Q1012 NOSIG RMK A2988
RPLL,2025-01-05 05:00,RPLL 050500Z 11006KT 070V160 9999 FEW025 BKN100 30/21 Q1011 NOSIG RMK A2985
RPLL,2025-01-05 06:00,RPLL 050600Z 12005KT 050V190 9999 FEW025 BKN100 31/21 Q1010 NOSIG RMK A2983
RPLL,2025-01-05 07:00,RPLL 050700Z 10009KT 070V140 9999 FEW025 SCT100 30/21 Q1009 NOSIG RMK A2980
RPLL,2025-01-05 08:00,RPLL 050800Z 12009KT 080V170 9999 FEW025 29/22 Q1009 NOSIG RMK A2980
RPLL,2025-01-05 09:00,RPLL 050900Z 12007KT 080V160 9999 FEW025 28/22 Q1010 NOSIG RMK A2983
RPLL,2025-01-05 10:00,RPLL 051000Z 13006KT 090V160 9999 FEW025 27/22 Q1010 NOSIG RMK A2983
RPLL,2025-01-05 11:00,RPLL 051100Z 09003KT 9999 FEW025 27/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-05 12:00,RPLL 051200Z VRB02KT 9999 FEW025 SCT100 27/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-05 13:00,RPLL 051300Z 36004KT 300V050 9999 FEW025 SCT100 27/21 Q1012 NOSIG RMK A2988
RPLL,2025-01-05 14:00,RPLL 051400Z VRB02KT 9999 FEW025 SCT100 26/21 Q1013 NOSIG RMK A2991
RPLL,2025-01-05 15:00,RPLL 051500Z VRB02KT 9999 FEW025 26/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-05 16:00,RPLL 051600Z 23003KT 190V260 9999 FEW025 26/22 Q1012 NOSIG RMK A2988
RPLL,2025-01-05 17:00,RPLL 051700Z 23003KT 200V260 9999 FEW025 25/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-05 18:00,RPLL 051800Z 25003KT 9999 FEW025 25/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-05 19:00,RPLL 051900Z 25003KT 9999 FEW025 25/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-05 20:00,RPLL 052000Z VRB02KT 9999 FEW025 25/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-05 21:00,RPLL 052100Z 33003KT 270V010 9999 FEW025 25/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-05 22:00,RPLL 052200Z 36005KT 320V060 9999 FEW025 SCT100 25/21 Q1011 NOSIG RMK A2985
RPLL,2025-01-05 23:00,RPLL 052300Z 33003KT 260V040 9999 FEW025 25/21 Q1011 NOSIG RMK A2985
RPLL,2025-01-06 00:00,RPLL 060000Z 01006KT 320V050 9999 FEW025 SCT100 27/21 Q1012 NOSIG RMK A2988
RPLL,2025-01-06 01:00,RPLL 060100Z VRB02KT 9999 FEW025 28/22 Q1013 NOSIG RMK A2991
RPLL,2025-01-06 02:00,RPLL 060200Z 25004KT 210V300 9999 FEW025 SCT100 28/23 Q1013 NOSIG RMK A2991
RPLL,2025-01-06 03:00,RPLL 060300Z 28007KT 250V340 9000 FEW025 29/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-06 04:00,RPLL 060400Z 29008KT 210V320 9000 FEW025 29/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-06 05:00,RPLL 060500Z 29007KT 240V340 9000 SCT025 29/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 06:00,RPLL 060600Z 28006KT 250V310 9000 SCT025 29/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 07:00,RPLL 060700Z 28005KT 250V310 9000 SCT025 30/23 Q1009 NOSIG RMK A2980
RPLL,2025-01-06 08:00,RPLL 060800Z 25004KT 9000 FEW023TCU SCT025 BKN100 29/23 Q1009 NOSIG RMK A2980 TCU N
RPLL,2025-01-06 09:00,RPLL 060900Z 12005KT 080V200 9000 SCT025 BKN100 30/24 Q1009 NOSIG RMK A2980
RPLL,2025-01-06 10:00,RPLL 061000Z 10005KT 050V160 9000 FEW025 29/22 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 11:00,RPLL 061100Z 11005KT 070V150 9999 FEW025 29/22 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 12:00,RPLL 061200Z 12003KT 070V160 9999 FEW025 28/22 Q1011 NOSIG RMK A2985
RPLL,2025-01-06 13:00,RPLL 061300Z 13005KT 060V160 9999 FEW025 27/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-06 14:00,RPLL 061400Z 12004KT 060V180 9999 FEW025 27/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-06 15:00,RPLL 061500Z 12004KT 080V160 9999 FEW025 27/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-06 16:00,RPLL 061600Z 08004KT 050V110 9999 FEW025 27/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-06 17:00,RPLL 061700Z VRB02KT 9999 FEW025 26/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-06 18:00,RPLL 061800Z VRB02KT 9999 FEW025 26/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 19:00,RPLL 061900Z VRB02KT 9999 FEW025 26/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 20:00,RPLL 062000Z VRB01KT 9999 FEW025 25/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 21:00,RPLL 062100Z VRB01KT 9999 FEW025 25/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 22:00,RPLL 062200Z VRB01KT 9999 FEW025 25/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-06 23:00,RPLL 062300Z VRB01KT 9999 FEW025 BKN100 26/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-07 00:00,RPLL 070000Z VRB02KT 9999 FEW025 BKN100 27/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-07 01:00,RPLL 070100Z 09004KT 030V180 9999 FEW025 BKN100 28/23 Q1013 NOSIG RMK A2991
RPLL,2025-01-07 02:00,RPLL 070200Z VRB02KT 9999 FEW025 BKN100 29/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-07 03:00,RPLL 070300Z 29004KT 240V350 9999 SCT025 BKN090 27/23 Q1012 NOSIG RMK A2988
RPLL,2025-01-07 04:00,RPLL 070400Z VRB02KT 9999 SCT025 BKN100 30/23 Q1011 NOSIG RMK A2985
RPLL,2025-01-07 05:00,RPLL 070500Z 26007KT 9999 SCT025 BKN100 28/23 Q1010 NOSIG RMK A2983
RPLL,2025-01-07 06:00,RPLL 070600Z 26005KT 220V310 9999 SCT025 BKN100 29/23 Q1009 NOSIG RMK A2980
RPLL,2025-01-07 07:00,RPLL 070700Z 10006KT 050V150 9999 SCT025 BKN100 30/23 Q1009 NOSIG RMK A2980
RPLL,2025-01-07 08:00,RPLL 070800Z 09006KT 060V150 9999 VCSH FEW023TCU SCT025 BKN100 29/24 Q1009 NOSIG RMK A2980 TCU/VCSH N
RPLL,2025-01-07 09:00,RPLL 070900Z 05005KT 360V070 9999 SCT023 BKN100 27/24 Q1010 NOSIG RMK A2983
RPLL,2025-01-07 10:00,RPLL 071000Z VRB02KT 9999 SCT025 BKN100 28/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-07 11:00,RPLL 071100Z VRB01KT 9999 SCT025 BKN100 28/24 Q1011 NOSIG RMK A2985
RPLL,2025-01-07 12:00,RPLL 071200Z VRB02KT 9999 SCT025 BKN100 27/23 Q1012 NOSIG RMK A2988
